Test Scenario ID,Test Scenario ,TC_ID, Test Case,Prequisites,Test Steps,Test Data,Expected Result,Actual Result,Priority,Result,Comments
 TS_008, Verify that the Contact Us page is accessible from the website menu or footer.,TC_035,To verify that the Contact Us symbol is present in the website menu,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1 Open the website.

2. Check the top menu for the ""Contact Us"" link.",NA,"The  ""Contact Us"" symbol should be visible in the menu.","The ""Contact Us"" symbol is visible in the menu.",P0,PASS,
,,TC_036,To verify that the Contact Us page opens from the menu,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the website from the prerequisites link.

2. Click on the Call symbol in the menu.

3. Observe the page is open.",NA,"The ""Contact Us"" page should open.","The ""Contact Us"" page is open.",P0,PASS,
,,TC_037,To verify that the Contact Us link is present in the website footer,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the website from the prerequisite link.

2. Scroll down to the footer section of the website.

3. In the footer section find the Customer Service section

4. Check if the ""Contact Us"" link is available.",NA,"The  ""Contact Us"" link should be visible in the footer.","The  ""Contact Us"" link is visible in the footer.",P1,PASS,
,,TC_038,To verify that the Contact Us page opens from the footer,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the website from the prerequisite link.

2. Scroll down to the footer section of the website.

3. In the footer section find the Customer Service section

4. Click on the ""Contact Us"" link.

5. Observe the ""contact us"" page is open",NA,"The  ""Contact Us"" page should open.","The  ""Contact Us"" page is open.",P0,PASS,
,,TC_039,To verify that the Contact Us page is accessible on mobile devices,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the website on a mobile device.

2. Check if the ""Contact Us"" link is visible in the menu/footer.

3. Click on the link to ensure the page opens properly.",NA,The page should be accessible and responsive on mobile.,The page is accessible and responsive on mobile.,P0,PASS,
,,TC_040,To verify that the Contact Us page is accessible from different browsers,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the website in different browsers (Chrome, Firefox, Edge, Safari).

2. Click on the ""Contact Us"" link.",NA,The page should open correctly in all browsers.,The page is open correctly in all browsers.,P0,PASS,
TS_009,Validate that all mandatory fields are present and properly labeled.,TC_041,To verify the presence of the Your Name field with a mandatory sign.,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1.  Open the Contact Us page.

2. Check if the Name field is present with a mandatory sign.",NA,The Your Name field should be visible with a mandatory sign.,The Your Name field is visible with a mandatory sign.,P0,PASS,
,,TC_042,To verify the label of the Name field,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the contact us page.

2. Check the label of the Name field.",NA,"The label should correctly display ""Your Name"".","The label is correctly display ""Your Name"".",P0,PASS,
,,TC_043,To verify the presence of the Email field with a mandatory sign.,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/"," 1.  Open the Contact Us page.

2. Check if the Email field is present.",NA,The  Email field should be visible with a mandatory sign.,The  Email field is visible with a mandatory sign.,P0,PASS,
,,TC_044,To Verify the label of the Email field,"Good internet connection, browser,

Open the link: https://tutorialsninja.com/demo/","1. Open the contact us page.

2. Check the label of the Email field.",NA,"The  label should correctly display ""Email"".","The  label is correctly display ""Email"".",P0,PASS,
