 ,Test Scenario ,TC_ID, Test Case,Prequisites,Test Steps,Test Data,Expected Result,Actual Result,Priority,Result,Comments
TS_001,Verify that the search bar is visible ,TC_001,Verify that the search bar is displayed on the homepage.,"1. Good internet connection

2. Open browser.

3. Enter link :https://tutorialsninja.com/demo/

4. The user is on the homepage.","1. Click on the link in the prerequisites.

2. Go to the homepage.

3.  Check if the search bar is visible.",NA,The search bar should be clearly visible on the homepage.,The search bar is clearly visible on the homepage.,P0,PASS,
,,TC_002,To verify that the search bar is displayed on all pages where search functionality is required.," 1. Good internet connection

2. The user is on the homepage.

3. the user is navigating through the website.","1. The user is on the homepage.

2. Open different pages (e.g. Products, Wishlist, checkout etc.)

3. check if the search bar is visible on each page.",NA,The search bar should be present on all relevant pages.,The search bar is visible on all relevant pages,P0,PASS,
,,TC_003,To verify that the search bar remains visible on different screen sizes., The website is accessed on different devices.,"1. Open the website on desktop, tablet and mobile.

2. Check if the search bar is visible without overlapping or hiding.",NA,The search bar should be properly visible and accessible on all devices.,The search bar is properly visible and accessible on all devices.,P0,PASS,
,,TC_004,To verify that the search bar remains visible after scrolling.,"1. click on link https://tutorialsninja.com/demo

2. Open the website.","1. Go to the homepage.

2. Scroll down the webpage.

3. Scroll back up.

4. Observe the search bar visible.",NA,The search bar should still be visible,The search bar is still visible.,P0,FAIL,Search bar is not visible after scrolling. It should stay visible or reappear when scrolling back up. Need to fix this issue.
,,TC_005,To verify the visibility of the search bar in different browsers.,"1.Need different browser(like firefox, chrome

2. enter this link on the browser: https://tutorialsninja.com/demo","1. Open the website in Chrome, Firebox, Edge etc.

2. check if the search bar is visible and properly displayed.",NA,The search bar should be visible on all supported browsers.,The search bar is visible on all supported browsers.,P0,PASS,
TS_002,Verify that the user can enter and clear text in the search field.,TC_006,To verify that the user can enter text into the search field.,"1. click on link: https://tutorialsninja.com/demo

2. Open the website.

","1. Click on the search field.

2. Enter in the search field from test data.","""laptop""","The text ""laptop"" should be entered and displayed in the search field.","The text ""laptop"" is entered and displayed in the search field.",P0,PASS,
,,TC_007,To verify that the user can enter numeric values into the search field.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

","1. Find search button on header.

2. Click on the search field.

3. Enter values in the search field from test data.","""12345""",The text should be entered and displayed in the search field.,The text is entered and displayed in the search field.,P1,PASS,
,,TC_008,To verify that the user can delete text using the backspace key.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

","1. Find the search bar in the header

2. Press on the search bar.

3. Enter test data in the field.

4. Press the backspace key until the text is deleted.","""iphone""",The text should be deleted the character by the character.,The text is deleted the character by the character,P0,PASS,
,,TC_009,To verify that the placeholder text reappears after clearing the search field.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

","1. Find the search bar in the header

2. Press on the search bar.

3. Enter test data in the field.

4. Press the backspace key until the text is deleted.","""laptop""",The placeholder text should reappear in the search field.,The placeholder text is reappear in the search field.,P1,PASS,
,,TC_010,"To verify that the user can enter and clear text on different devices (mobile, tablet, desktop)."," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

","1. Find the search bar in the header.

2. Enter text in the search field on different devices(like mobile, tablet, pc)

3. Clear the text using the backspace key.","""Mobile""",The text should be entered and cleared correctly across all devices.,The text is entered and cleared correctly across all devices.,P0,PASS,
